,Title,Authors,Year,Cites,Journal,Link
0,Two-Way Fixed Effects Estimators with Heterogeneous Treatment Effects,"C de Chaisemartin, X D’Haultfœuille",2020,3639,American Economic Review,https://scholar.google.com/scholar?oi=bibs&cluster=862776664892752482&btnI=1&hl=en
1,"Bartik Instruments: What, When, Why, and How","P Goldsmith-Pinkham, I Sorkin, H Swift",2020,2027,American Economic Review,https://scholar.google.com/scholar?oi=bibs&cluster=6025324097129642737&btnI=1&hl=en
2,Macroeconomic Implications of COVID-19: Can Negative Supply Shocks Cause Demand Shortages?,"V Guerrieri, G Lorenzoni, L Straub, I Werning",2022,1594,American Economic Review,https://scholar.google.com/scholar?oi=bibs&cluster=9888486504118130049&btnI=1&hl=en
3,Importing Political Polarization? The Electoral Consequences of Rising Trade Exposure,"D Autor, D Dorn, G Hanson, K Majlesi",2020,1515,American Economic Review,https://scholar.google.com/scholar?oi=bibs&cluster=15986250801386783392&btnI=1&hl=en
4,Are Ideas Getting Harder to Find?,"N Bloom, CI Jones, J Van Reenen, M Webb",2020,1318,American Economic Review,https://scholar.google.com/scholar?oi=bibs&cluster=3018014524650332359&btnI=1&hl=en
5,Monetary Policy and the Redistribution Channel,A Auclert,2019,1222,American Economic Review,https://scholar.google.com/scholar?oi=bibs&cluster=6988943764139176224&btnI=1&hl=en
6,Public Debt and Low Interest Rates,O Blanchard,2019,1208,American Economic Review,https://scholar.google.com/scholar?oi=bibs&cluster=7723070950801717557&btnI=1&hl=en
7,The Welfare Effects of Social Media,"H Allcott, L Braghieri, S Eichmeyer, M Gentzkow",2020,958,American Economic Review,https://scholar.google.com/scholar?oi=bibs&cluster=16668049234927862455&btnI=1&hl=en
8,Vulnerable Growth,"T Adrian, N Boyarchenko, D Giannone",2019,890,American Economic Review,https://scholar.google.com/scholar?oi=bibs&cluster=11648302862401824892&btnI=1&hl=en
9,Climate Change: The Ultimate Challenge for Economics,W Nordhaus,2019,883,American Economic Review,https://scholar.google.com/scholar?oi=bibs&cluster=12517043327371204014&btnI=1&hl=en
10,Does Diversity Matter for Health? Experimental Evidence from Oakland,"M Alsan, O Garrick, G Graziani",2019,824,American Economic Review,https://scholar.google.com/scholar?oi=bibs&cluster=17083718943580063312&btnI=1&hl=en
11,Structural Interpretation of Vector Autoregressions with Incomplete Identification: Revisiting the Role of Oil Supply and Demand Shocks,"C Baumeister, JD Hamilton",2019,809,American Economic Review,https://scholar.google.com/scholar?oi=bibs&cluster=7089032603206467862&btnI=1&hl=en
12,Tax Evasion and Inequality,"A Alstadsæter, N Johannesen, G Zucman",2019,808,American Economic Review,https://scholar.google.com/scholar?oi=bibs&cluster=15913850460918798534&btnI=1&hl=en
13,Synthetic Difference-in-Differences,"D Arkhangelsky, S Athey, DA Hirshberg, GW Imbens, S Wager",2021,657,American Economic Review,https://scholar.google.com/scholar?oi=bibs&cluster=12715799468607190008&btnI=1&hl=en
14,Did Austerity Cause Brexit?,T Fetzer,2019,651,American Economic Review,https://scholar.google.com/scholar?oi=bibs&cluster=15293551651067060563&btnI=1&hl=en
15,The Mortality and Medical Costs of Air Pollution: Evidence from Changes in Wind Direction,"T Deryugina, G Heutel, NH Miller, D Molitor, J Reif",2019,645,American Economic Review,https://scholar.google.com/scholar?oi=bibs&cluster=9956559896196312642&btnI=1&hl=en
16,"Capital Accumulation, Private Property, and Rising Inequality in China, 1978–2015","T Piketty, L Yang, G Zucman",2019,630,American Economic Review,https://scholar.google.com/scholar?oi=bibs&cluster=6272248175109846175&btnI=1&hl=en
17,The Arrival of Fast Internet and Employment in Africa,"J Hjort, J Poulsen",2019,628,American Economic Review,https://scholar.google.com/scholar?oi=bibs&cluster=15627505701710630789&btnI=1&hl=en
18,Nonrivalry and the Economics of Data,"CI Jones, C Tonetti",2020,593,American Economic Review,https://scholar.google.com/scholar?oi=bibs&cluster=13903708099881446429&btnI=1&hl=en
19,The New Tools of Monetary Policy,BS Bernanke,2020,574,American Economic Review,https://scholar.google.com/scholar?oi=bibs&cluster=11026474833494705719&btnI=1&hl=en
