,Title,Authors,Year,Cites,Journal,Link
0,The Allocation of Talent and US Economic Growth,"CT Hsieh, E Hurst, CI Jones, PJ Klenow",2019,1258,Econometrica,https://scholar.google.com/scholar?oi=bibs&cluster=10939230885545233235&btnI=1&hl=en
1,Preferences for Truth‐Telling,"J Abeler, D Nosenzo, C Raymond",2019,987,Econometrica,https://scholar.google.com/scholar?oi=bibs&cluster=5436858925750954454&btnI=1&hl=en
2,Trade and Labor Market Dynamics: General Equilibrium Analysis of the China Trade Shock,"L Caliendo, M Dvorkin, F Parro",2019,672,Econometrica,https://scholar.google.com/scholar?oi=bibs&cluster=6173284654988398695&btnI=1&hl=en
3,Local Projections and VARs Estimate the Same Impulse Responses,"M Plagborg‐Møller, CK Wolf",2021,648,Econometrica,https://scholar.google.com/scholar?oi=bibs&cluster=7736836575902787234&btnI=1&hl=en
4,Financial Heterogeneity and the Investment Channel of Monetary Policy,"P Ottonello, T Winberry",2020,628,Econometrica,https://scholar.google.com/scholar?oi=bibs&cluster=1771054911689017032&btnI=1&hl=en
5,Social Media and Protest Participation: Evidence From Russia,"R Enikolopov, A Makarin, M Petrova",2020,626,Econometrica,https://scholar.google.com/scholar?oi=bibs&cluster=13315215985261544375&btnI=1&hl=en
6,The Macroeconomic Impact of Microeconomic Shocks: Beyond Hulten's Theorem,"DR Baqaee, E Farhi",2019,544,Econometrica,https://scholar.google.com/scholar?oi=bibs&cluster=3802840197378547863&btnI=1&hl=en
7,RCTs to Scale: Comprehensive Evidence From Two Nudge Units,"S DellaVigna, E Linos",2022,541,Econometrica,https://scholar.google.com/scholar?oi=bibs&cluster=13306632653232434208&btnI=1&hl=en
8,Measuring Group Differences in High‐Dimensional Choices: Method and Application to Congressional Speech,"M Gentzkow, JM Shapiro, M Taddy",2019,417,Econometrica,https://scholar.google.com/scholar?oi=bibs&cluster=14220967212506861309&btnI=1&hl=en
9,Liberation Technology: Mobile Phones and Political Mobilization in Africa,"M Manacorda, A Tesei",2020,413,Econometrica,https://scholar.google.com/scholar?oi=bibs&cluster=11946195617473340112&btnI=1&hl=en
10,Policy Learning With Observational Data,"S Athey, S Wager",2021,413,Econometrica,https://scholar.google.com/scholar?oi=bibs&cluster=5362159251027899981&btnI=1&hl=en
11,Deep Neural Networks for Estimation and Inference,"MH Farrell, T Liang, S Misra",2021,406,Econometrica,https://scholar.google.com/scholar?oi=bibs&cluster=9665935588603111503&btnI=1&hl=en
12,On the Geography of Global Value Chains,"P Antràs, A de Gortari",2020,392,Econometrica,https://scholar.google.com/scholar?oi=bibs&cluster=7503535697394868886&btnI=1&hl=en
13,"Tasks, Automation, and the Rise in US Wage Inequality","D Acemoglu, P Restrepo",2022,374,Econometrica,https://scholar.google.com/scholar?oi=bibs&cluster=6955550150978313659&btnI=1&hl=en
14,A Distributional Framework for Matched Employer Employee Data,"S Bonhomme, T Lamadon, E Manresa",2019,363,Econometrica,https://scholar.google.com/scholar?oi=bibs&cluster=28994352276503930&btnI=1&hl=en
15,Frontier Culture: The Roots and Persistence of “Rugged Individualism” in the United States,"S Bazzi, M Fiszbein, M Gebresilasse",2020,362,Econometrica,https://scholar.google.com/scholar?oi=bibs&cluster=521029417267987070&btnI=1&hl=en
16,How Destructive Is Innovation?,"D Garcia‐Macia, CT Hsieh, PJ Klenow",2019,353,Econometrica,https://scholar.google.com/scholar?oi=bibs&cluster=16019265360465775049&btnI=1&hl=en
17,Labor Share Decline and Intellectual Property Products Capital,"D Koh, R Santaeulàlia‐Llopis, Y Zheng",2020,347,Econometrica,https://scholar.google.com/scholar?oi=bibs&cluster=14199452420685197632&btnI=1&hl=en
18,General Equilibrium Effects of Cash Transfers: Experimental Evidence From Kenya,"D Egger, J Haushofer, E Miguel, P Niehaus, M Walker",2022,324,Econometrica,https://scholar.google.com/scholar?oi=bibs&cluster=14353622480918787076&btnI=1&hl=en
19,Local Projection Inference Is Simpler and More Robust Than You Think,"JL Montiel Olea, M Plagborg‐Møller",2021,324,Econometrica,https://scholar.google.com/scholar?oi=bibs&cluster=14461141354567647737&btnI=1&hl=en
