,Title,Authors,Year,Cites,Journal,Link
0,Detecting Accounting Fraud in Publicly Traded US Firms Using a Machine Learning Approach,"Y BAO, BIN KE, BIN LI, YJ YU, JIE ZHANG",2020,321,Journal of Accounting Research,https://scholar.google.com/scholar?oi=bibs&cluster=5705267363135909644&btnI=1&hl=en
1,What Are You Saying? Using topic to Detect Financial Misreporting,"NC BROWN, RM CROWLEY, WB ELLIOTT",2020,236,Journal of Accounting Research,https://scholar.google.com/scholar?oi=bibs&cluster=11941394239084540889&btnI=1&hl=en
2,The Impact of Information Processing Costs on Firm Disclosure Choice: Evidence from the XBRL Mandate,E BLANKESPOOR,2019,220,Journal of Accounting Research,https://scholar.google.com/scholar?oi=bibs&cluster=9497237350595447561&btnI=1&hl=en
3,Why Do Individual Investors Disregard Accounting Information? The Roles of Information Awareness and Acquisition Costs,"E BLANKESPOOR, ED DEHAAN, J WERTZ, C ZHU",2019,211,Journal of Accounting Research,https://scholar.google.com/scholar?oi=bibs&cluster=10785320302636755404&btnI=1&hl=en
4,Real Effects of a Widespread CSR Reporting Mandate: Evidence from the European Union's CSR Directive,"P FIECHTER, JM HITZ, N LEHMANN",2022,175,Journal of Accounting Research,https://scholar.google.com/scholar?oi=bibs&cluster=5475956294680923530&btnI=1&hl=en
5,Does Private Country‐by‐Country Reporting Deter Tax Avoidance and Income Shifting? Evidence from BEPS Action Item 13,P JOSHI,2020,144,Journal of Accounting Research,https://scholar.google.com/scholar?oi=bibs&cluster=11276160424667580479&btnI=1&hl=en
6,Transparency and Tax Evasion: Evidence from the Foreign Account Tax Compliance Act (FATCA),"L DE SIMONE, R LESTER, K MARKLE",2020,132,Journal of Accounting Research,https://scholar.google.com/scholar?oi=bibs&cluster=13818972196497920404&btnI=1&hl=en
7,Man Versus Machine: Complex Estimates and Auditor Reliance on Artificial Intelligence,"BP COMMERFORD, SA DENNIS, JR JOE, JW ULLA",2022,129,Journal of Accounting Research,https://scholar.google.com/scholar?oi=bibs&cluster=7840950363124706462&btnI=1&hl=en
8,Strategic Subsidiary Disclosure,"SD DYRENG, JL HOOPES, P LANGETIEG, JH WILDE",2020,124,Journal of Accounting Research,https://scholar.google.com/scholar?oi=bibs&cluster=8039361604273867449&btnI=1&hl=en
9,Is Investor Attention for Sale? The Role of Advertising in Financial Markets,"J MADSEN, M NIESSNER",2019,123,Journal of Accounting Research,https://scholar.google.com/scholar?oi=bibs&cluster=7441260354936227256&btnI=1&hl=en
10,The Long‐Term Consequences of Short‐Term Incentives,"A EDMANS, VW FANG, AH HUANG",2022,121,Journal of Accounting Research,https://scholar.google.com/scholar?oi=bibs&cluster=17853948191374433299&btnI=1&hl=en
11,Executive Compensation Tied to ESG Performance: International Evidence,"S COHEN, I KADACH, G ORMAZABAL, S REICHELSTEIN",2023,119,Journal of Accounting Research,https://scholar.google.com/scholar?oi=bibs&cluster=111214655832902026&btnI=1&hl=en
12,The Effect of Mandatory Extraction Payment Disclosures on Corporate Payment and Investment Policies Abroad,T RAUTER,2020,118,Journal of Accounting Research,https://scholar.google.com/scholar?oi=bibs&cluster=17065863229048407940&btnI=1&hl=en
13,Federal Judge Ideology: A New Measure of Ex Ante Litigation Risk,"A HUANG, KAIWAI HUI, RZ LI",2019,117,Journal of Accounting Research,https://scholar.google.com/scholar?oi=bibs&cluster=2297057865291538074&btnI=1&hl=en
14,Do Strict Regulators Increase the Transparency of Banks?,"AM COSTELLO, J GRANJA, J WEBER",2019,115,Journal of Accounting Research,https://scholar.google.com/scholar?oi=bibs&cluster=2059886251644963242&btnI=1&hl=en
15,Greenhouse Gas Disclosure and Emissions Benchmarking,S TOMAR,2023,115,Journal of Accounting Research,https://scholar.google.com/scholar?oi=bibs&cluster=7198527809428600268&btnI=1&hl=en
16,Banks as Tax Planning Intermediaries,"J GALLEMORE, B GIPPER, E MAYDEW",2019,112,Journal of Accounting Research,https://scholar.google.com/scholar?oi=bibs&cluster=2321730688623229988&btnI=1&hl=en
17,Evidence on the Use and Efficacy of Internal Whistleblowing Systems,"SR STUBBEN, KT WELCH",2020,107,Journal of Accounting Research,https://scholar.google.com/scholar?oi=bibs&cluster=16397779778412190618&btnI=1&hl=en
18,The Disciplinary Effect of Social Media: Evidence from Firms' Responses to Glassdoor Reviews,"S DUBE, C ZHU",2021,104,Journal of Accounting Research,https://scholar.google.com/scholar?oi=bibs&cluster=7650981079657510501&btnI=1&hl=en
19,How Does Financial‐Reporting Regulation Affect Industry‐Wide Resource Allocation?,M BREUER,2021,102,Journal of Accounting Research,https://scholar.google.com/scholar?oi=bibs&cluster=11353407486343362238&btnI=1&hl=en
