,Title,Authors,Year,Cites,Journal,Link
0,"Disclosure processing costs, investors’ information choice, and equity market outcomes: A review","E Blankespoor, E deHaan, I Marinovic",2020,722,Journal of Accounting and Economics,https://scholar.google.com/scholar?oi=bibs&cluster=16313768000259230412&btnI=1&hl=en
1,The effects of financial reporting and disclosure on corporate investment: A review,"S Roychowdhury, N Shroff, RS Verdi",2019,649,Journal of Accounting and Economics,https://scholar.google.com/scholar?oi=bibs&cluster=13786672447483382540&btnI=1&hl=en
2,Where's the greenium?,"DF Larcker, EM Watts",2020,586,Journal of Accounting and Economics,https://scholar.google.com/scholar?oi=bibs&cluster=15079671509447291964&btnI=1&hl=en
3,The effect of economic policy uncertainty on investor information asymmetry and management disclosures,"V Nagar, J Schoenfeld, L Wellman",2019,517,Journal of Accounting and Economics,https://scholar.google.com/scholar?oi=bibs&cluster=17347646978544562178&btnI=1&hl=en
4,Do practitioner assessments agree with academic proxies for audit quality? Evidence from PCAOB and internal inspections,D Aobdia,2019,314,Journal of Accounting and Economics,https://scholar.google.com/scholar?oi=bibs&cluster=13067965426987844836&btnI=1&hl=en
5,Agency costs and tax planning when the government is a major Shareholder,"M Bradshaw, G Liao, MS Ma",2019,300,Journal of Accounting and Economics,https://scholar.google.com/scholar?oi=bibs&cluster=13929799282748043910&btnI=1&hl=en
6,Do women managers keep firms out of trouble? Evidence from corporate litigation and policies,"BK Adhikari, A Agrawal, J Malm",2019,203,Journal of Accounting and Economics,https://scholar.google.com/scholar?oi=bibs&cluster=12297077447935610897&btnI=1&hl=en
7,Managing the narrative: Investor relations officers and corporate disclosure✰,"LD Brown, AC Call, MB Clement, NY Sharp",2019,198,Journal of Accounting and Economics,https://scholar.google.com/scholar?oi=bibs&cluster=14239829566858807560&btnI=1&hl=en
8,Peer effects in corporate disclosure decisions,H Seo,2021,186,Journal of Accounting and Economics,https://scholar.google.com/scholar?oi=bibs&cluster=9928495422411890334&btnI=1&hl=en
9,Disclosure incentives when competing firms have common ownership,"J Park, J Sani, N Shroff, H White",2019,184,Journal of Accounting and Economics,https://scholar.google.com/scholar?oi=bibs&cluster=11229216473507318502&btnI=1&hl=en
10,How does quasi-indexer ownership affect corporate tax planning?,"S Chen, Y Huang, N Li, T Shevlin",2019,184,Journal of Accounting and Economics,https://scholar.google.com/scholar?oi=bibs&cluster=3321925648304339346&btnI=1&hl=en
11,Complexity of financial reporting standards and accounting expertise,"R Chychyla, AJ Leone, M Minutti-Meza",2019,178,Journal of Accounting and Economics,https://scholar.google.com/scholar?oi=bibs&cluster=11546907996889091290&btnI=1&hl=en
12,The innovation consequences of mandatory patent disclosures,"J Kim, K Valentine",2021,150,Journal of Accounting and Economics,https://scholar.google.com/scholar?oi=bibs&cluster=12695139435499681324&btnI=1&hl=en
13,Are declining effective tax rates indicative of tax avoidance? Insight from effective tax rate reconciliations,"KD Drake, R Hamilton, SJ Lusch",2020,133,Journal of Accounting and Economics,https://scholar.google.com/scholar?oi=bibs&cluster=18383597959341853046&btnI=1&hl=en
14,The spillover effects of MD&A disclosures for real investment: The role of industry competition,"A Durnev, C Mangen",2020,133,Journal of Accounting and Economics,https://scholar.google.com/scholar?oi=bibs&cluster=16387488743197618985&btnI=1&hl=en
15,Analysts and anomalies,"J Engelberg, RD McLean, J Pontiff",2020,131,Journal of Accounting and Economics,https://scholar.google.com/scholar?oi=bibs&cluster=17022504297152685491&btnI=1&hl=en
16,Increased market response to earnings announcements in the 21st century: An Empirical Investigation,"WH Beaver, MF McNichols, ZZ Wang",2020,129,Journal of Accounting and Economics,https://scholar.google.com/scholar?oi=bibs&cluster=9065251860100552433&btnI=1&hl=en
17,Market uncertainty and the importance of media coverage at earnings announcements,"SB Bonsall IV, J Green, KA Muller III",2020,127,Journal of Accounting and Economics,https://scholar.google.com/scholar?oi=bibs&cluster=4446767463728047476&btnI=1&hl=en
18,Strategic reactions in corporate tax planning,"CS Armstrong, S Glaeser, JD Kepler",2019,125,Journal of Accounting and Economics,https://scholar.google.com/scholar?oi=bibs&cluster=11542398714967500840&btnI=1&hl=en
19,Does short-selling threat discipline managers in mergers and acquisitions decisions?,"EC Chang, TC Lin, X Ma",2019,116,Journal of Accounting and Economics,https://scholar.google.com/scholar?oi=bibs&cluster=9693053611169690217&btnI=1&hl=en
