,Title,Authors,Year,Cites,Journal,Link
0,Do investors care about carbon risk?,"P Bolton, M Kacperczyk",2021,1786,Journal of Financial Economics,https://scholar.google.com/scholar?oi=bibs&cluster=15000041897905524628&btnI=1&hl=en
1,Do institutional investors drive corporate social responsibility? International evidence,"A Dyck, KV Lins, L Roth, HF Wagner",2019,1709,Journal of Financial Economics,https://scholar.google.com/scholar?oi=bibs&cluster=6934306269234389788&btnI=1&hl=en
2,How much should we trust staggered difference-in-differences estimates?,"AC Baker, DF Larcker, CCY Wang",2022,1695,Journal of Financial Economics,https://scholar.google.com/scholar?oi=bibs&cluster=17550935251818340214&btnI=1&hl=en
3,Corporate green bonds,C Flammer,2021,1422,Journal of Financial Economics,https://scholar.google.com/scholar?oi=bibs&cluster=7717486437231016916&btnI=1&hl=en
4,Sustainable investing in equilibrium,"Ľ Pástor, RF Stambaugh, LA Taylor",2021,1372,Journal of Financial Economics,https://scholar.google.com/scholar?oi=bibs&cluster=8195034618261483052&btnI=1&hl=en
5,Corporate immunity to the COVID-19 pandemic,"W Ding, R Levine, C Lin, W Xie",2021,1371,Journal of Financial Economics,https://scholar.google.com/scholar?oi=bibs&cluster=15114344055430686161&btnI=1&hl=en
6,Responsible investing: The ESG-efficient frontier,"LH Pedersen, S Fitzgibbons, L Pomorski",2021,1262,Journal of Financial Economics,https://scholar.google.com/scholar?oi=bibs&cluster=13803157867379711943&btnI=1&hl=en
7,How do venture capitalists make decisions?,"PA Gompers, W Gornall, SN Kaplan, IA Strebulaev",2020,908,Journal of Financial Economics,https://scholar.google.com/scholar?oi=bibs&cluster=16945043140196608065&btnI=1&hl=en
8,Impact investing,"BM Barber, A Morse, A Yasuda",2021,769,Journal of Financial Economics,https://scholar.google.com/scholar?oi=bibs&cluster=8791425609263561822&btnI=1&hl=en
9,Disaster on the horizon: The price effect of sea level rise,"A Bernstein, MT Gustafson, R Lewis",2019,756,Journal of Financial Economics,https://scholar.google.com/scholar?oi=bibs&cluster=13517782455739048012&btnI=1&hl=en
10,Risk perceptions and politics: Evidence from the COVID-19 pandemic,"JM Barrios, YV Hochberg",2021,704,Journal of Financial Economics,https://scholar.google.com/scholar?oi=bibs&cluster=8219623977610676432&btnI=1&hl=en
11,Trading and arbitrage in cryptocurrency markets,"I Makarov, A Schoar",2020,690,Journal of Financial Economics,https://scholar.google.com/scholar?oi=bibs&cluster=13048219820228801077&btnI=1&hl=en
12,Institutional shareholders and corporate social responsibility,"T Chen, H Dong, C Lin",2020,678,Journal of Financial Economics,https://scholar.google.com/scholar?oi=bibs&cluster=12379745087471420317&btnI=1&hl=en
13,Shrinking the cross-section,"S Kozak, S Nagel, S Santosh",2020,664,Journal of Financial Economics,https://scholar.google.com/scholar?oi=bibs&cluster=2714186166539882944&btnI=1&hl=en
14,Characteristics are covariances: A unified model of risk and return,"BT Kelly, S Pruitt, Y Su",2019,643,Journal of Financial Economics,https://scholar.google.com/scholar?oi=bibs&cluster=18108122409703907387&btnI=1&hl=en
15,From mining to markets: The evolution of bitcoin transaction fees,"D Easley, M O'Hara, S Basu",2019,635,Journal of Financial Economics,https://scholar.google.com/scholar?oi=bibs&cluster=5116284308415437944&btnI=1&hl=en
16,Consumer-lending discrimination in the FinTech Era,"R Bartlett, A Morse, R Stanton, N Wallace",2022,631,Journal of Financial Economics,https://scholar.google.com/scholar?oi=bibs&cluster=11867839299286115881&btnI=1&hl=en
17,Dissecting green returns,"Ľ Pástor, RF Stambaugh, LA Taylor",2022,615,Journal of Financial Economics,https://scholar.google.com/scholar?oi=bibs&cluster=17338011803148981989&btnI=1&hl=en
18,Size and value in China,"J Liu, RF Stambaugh, Y Yuan",2019,588,Journal of Financial Economics,https://scholar.google.com/scholar?oi=bibs&cluster=4090169339933355541&btnI=1&hl=en
19,Manager sentiment and stock returns,"F Jiang, J Lee, X Martin, G Zhou",2019,564,Journal of Financial Economics,https://scholar.google.com/scholar?oi=bibs&cluster=3773482766549228502&btnI=1&hl=en
