,Title,Authors,Year,Cites,Journal,Link
0,Measuring euro area monetary policy,"C Altavilla, L Brugnolini, RS Gürkaynak, R Motto, G Ragusa",2019,583,Journal of Monetary Economics,https://scholar.google.com/scholar?oi=bibs&cluster=13830919936155229&btnI=1&hl=en
1,Some simple bitcoin economics,"L Schilling, H Uhlig",2019,500,Journal of Monetary Economics,https://scholar.google.com/scholar?oi=bibs&cluster=3858555381389961989&btnI=1&hl=en
2,The economic effects of trade policy uncertainty,"D Caldara, M Iacoviello, P Molligo, A Prestipino, A Raffo",2020,447,Journal of Monetary Economics,https://scholar.google.com/scholar?oi=bibs&cluster=3779563203788823496&btnI=1&hl=en
3,Monetary policy uncertainty,"L Husted, J Rogers, B Sun",2020,420,Journal of Monetary Economics,https://scholar.google.com/scholar?oi=bibs&cluster=7278730516686945357&btnI=1&hl=en
4,On the equivalence of private and public money,"MK Brunnermeier, D Niepelt",2019,394,Journal of Monetary Economics,https://scholar.google.com/scholar?oi=bibs&cluster=4477514990944400681&btnI=1&hl=en
5,Health versus wealth: On the distributional effects of controlling a pandemic,"A Glover, J Heathcote, D Krueger, JV Ríos-Rull",2023,390,Journal of Monetary Economics,https://scholar.google.com/scholar?oi=bibs&cluster=15051661591113412415&btnI=1&hl=en
6,Oil price elasticities and oil price fluctuations,"D Caldara, M Cavallo, M Iacoviello",2019,388,Journal of Monetary Economics,https://scholar.google.com/scholar?oi=bibs&cluster=3505580087824725760&btnI=1&hl=en
7,Financial regimes and uncertainty shocks,"P Alessandri, H Mumtaz",2019,312,Journal of Monetary Economics,https://scholar.google.com/scholar?oi=bibs&cluster=6846067024935826359&btnI=1&hl=en
8,Financial fragility in the COVID-19 crisis: The case of investment funds in corporate bond markets,"A Falato, I Goldstein, A Hortaçsu",2021,309,Journal of Monetary Economics,https://scholar.google.com/scholar?oi=bibs&cluster=363088497098972361&btnI=1&hl=en
9,Delphic and odyssean monetary policy shocks: Evidence from the euro area,"P Andrade, F Ferroni",2021,269,Journal of Monetary Economics,https://scholar.google.com/scholar?oi=bibs&cluster=15924374008158268415&btnI=1&hl=en
10,The effects of a money-financed fiscal stimulus,J Galí,2020,258,Journal of Monetary Economics,https://scholar.google.com/scholar?oi=bibs&cluster=8357845351098926092&btnI=1&hl=en
11,Global spillover effects of US uncertainty,"S Bhattarai, A Chatterjee, WY Park",2020,249,Journal of Monetary Economics,https://scholar.google.com/scholar?oi=bibs&cluster=5946674943308617921&btnI=1&hl=en
12,Some unpleasant markup arithmetic: Production function elasticities and their estimation from production data,"S Bond, A Hashemi, G Kaplan, P Zoch",2021,239,Journal of Monetary Economics,https://scholar.google.com/scholar?oi=bibs&cluster=3999765995218528165&btnI=1&hl=en
13,Institutional integration and economic growth in Europe,"NF Campos, F Coricelli, L Moretti",2019,226,Journal of Monetary Economics,https://scholar.google.com/scholar?oi=bibs&cluster=17784663439829828927&btnI=1&hl=en
14,The New Keynesian cross,FO Bilbiie,2020,225,Journal of Monetary Economics,https://scholar.google.com/scholar?oi=bibs&cluster=4743985253420627563&btnI=1&hl=en
15,"Evaluating Central Banks’ tool kit: Past, present, and future","E Sims, JC Wu",2021,217,Journal of Monetary Economics,https://scholar.google.com/scholar?oi=bibs&cluster=6478374128245032722&btnI=1&hl=en
16,A unified measure of Fed monetary policy shocks,"C Bu, J Rogers, W Wu",2021,214,Journal of Monetary Economics,https://scholar.google.com/scholar?oi=bibs&cluster=3816738720474169985&btnI=1&hl=en
17,"Growth, slowdowns, and recoveries","F Bianchi, H Kung, G Morales",2019,212,Journal of Monetary Economics,https://scholar.google.com/scholar?oi=bibs&cluster=10094134782720917925&btnI=1&hl=en
18,US monetary policy and emerging market credit cycles,"F Bräuning, V Ivashina",2020,205,Journal of Monetary Economics,https://scholar.google.com/scholar?oi=bibs&cluster=5235905522337107374&btnI=1&hl=en
19,Central bank digital currency in an open economy,"MF Minesso, A Mehl, L Stracca",2022,197,Journal of Monetary Economics,https://scholar.google.com/scholar?oi=bibs&cluster=11981292297030384546&btnI=1&hl=en
