,Title,Authors,Year,Cites,Journal,Link
0,Democracy Does Cause Growth,"D Acemoglu, S Naidu, P Restrepo, JA Robinson",2019,2160,Journal of Political Economy,https://scholar.google.com/scholar?oi=bibs&cluster=4837888443975869912&btnI=1&hl=en
1,Killer Acquisitions,"C Cunningham, F Ederer, S Ma",2021,753,Journal of Political Economy,https://scholar.google.com/scholar?oi=bibs&cluster=10953690595647511505&btnI=1&hl=en
2,Financial Frictions and Fluctuations in Volatility,"C Arellano, Y Bai, PJ Kehoe",2019,622,Journal of Political Economy,https://scholar.google.com/scholar?oi=bibs&cluster=15152838276402960829&btnI=1&hl=en
3,The Housing Boom and Bust: Model Meets Evidence,"G Kaplan, K Mitman, GL Violante",2020,579,Journal of Political Economy,https://scholar.google.com/scholar?oi=bibs&cluster=14687046209349662511&btnI=1&hl=en
4,A Demand System Approach to Asset Pricing,"RSJ Koijen, M Yogo",2019,576,Journal of Political Economy,https://scholar.google.com/scholar?oi=bibs&cluster=12615278230314436188&btnI=1&hl=en
5,"Production Networks, Geography, and Firm Performance","AB Bernard, A Moxnes, YU Saito",2019,561,Journal of Political Economy,https://scholar.google.com/scholar?oi=bibs&cluster=10388226494401153160&btnI=1&hl=en
6,The Value of Flexible Work: Evidence from Uber Drivers,"MK Chen, PE Rossi, JA Chevalier, E Oehlsen",2019,548,Journal of Political Economy,https://scholar.google.com/scholar?oi=bibs&cluster=2595636111983603645&btnI=1&hl=en
7,Monetary Policy Communications and Their Effects on Household Inflation Expectations,"O Coibion, Y Gorodnichenko, M Weber",2022,498,Journal of Political Economy,https://scholar.google.com/scholar?oi=bibs&cluster=1739960204744047018&btnI=1&hl=en
8,"Incarceration, Recidivism, and Employment","M Bhuller, GB Dahl, KV Løken, M Mogstad",2020,492,Journal of Political Economy,https://scholar.google.com/scholar?oi=bibs&cluster=8446942106786124449&btnI=1&hl=en
9,The Market for Financial Adviser Misconduct,"M Egan, G Matvos, A Seru",2019,461,Journal of Political Economy,https://scholar.google.com/scholar?oi=bibs&cluster=1209034515171901675&btnI=1&hl=en
10,The Impact of Temperature on Productivity and Labor Supply: Evidence from Indian Manufacturing,"E Somanathan, R Somanathan, A Sudarshan, M Tewari",2021,452,Journal of Political Economy,https://scholar.google.com/scholar?oi=bibs&cluster=17737711330350247725&btnI=1&hl=en
11,"Income and Wealth Inequality in America, 1949–2016","M Kuhn, M Schularick, UI Steins",2020,451,Journal of Political Economy,https://scholar.google.com/scholar?oi=bibs&cluster=5419365840972774200&btnI=1&hl=en
12,An Empirical Analysis of Racial Differences in Police Use of Force,RG Fryer Jr,2019,450,Journal of Political Economy,https://scholar.google.com/scholar?oi=bibs&cluster=16881397968945726041&btnI=1&hl=en
13,Willingness to Pay for Clean Air: Evidence from Air Purifier Markets in China,"K Ito, S Zhang",2020,440,Journal of Political Economy,https://scholar.google.com/scholar?oi=bibs&cluster=15580332605792521922&btnI=1&hl=en
14,The Aggregate Productivity Effects of Internal Migration: Evidence from Indonesia,"G Bryan, M Morten",2019,427,Journal of Political Economy,https://scholar.google.com/scholar?oi=bibs&cluster=3197114469124026976&btnI=1&hl=en
15,Educational Assortative Mating and Household Income Inequality,"L Eika, M Mogstad, B Zafar",2019,423,Journal of Political Economy,https://scholar.google.com/scholar?oi=bibs&cluster=14231582666207570051&btnI=1&hl=en
16,Cutthroat Capitalism versus Cuddly Socialism: Are Americans More Meritocratic and Efficiency-Seeking than Scandinavians?,"I Almås, AW Cappelen, B Tungodden",2020,419,Journal of Political Economy,https://scholar.google.com/scholar?oi=bibs&cluster=5347704134432029898&btnI=1&hl=en
17,Employment Hysteresis from the Great Recession,D Yagan,2019,408,Journal of Political Economy,https://scholar.google.com/scholar?oi=bibs&cluster=15588238892904032190&btnI=1&hl=en
18,The Formation of Prosociality: Causal Evidence on the Role of Social Environment,"F Kosse, T Deckers, P Pinger, H Schildberg-Hörisch, A Falk",2020,404,Journal of Political Economy,https://scholar.google.com/scholar?oi=bibs&cluster=18347547542535085286&btnI=1&hl=en
19,On the Identification of Gross Output Production Functions,"A Gandhi, S Navarro, DA Rivers",2020,403,Journal of Political Economy,https://scholar.google.com/scholar?oi=bibs&cluster=17785348395242006244&btnI=1&hl=en
