,Title,Authors,Year,Cites,Journal,Link
0,Quality minus junk,"CS Asness, A Frazzini, LH Pedersen",2019,953,Review of Accounting Studies,https://scholar.google.com/scholar?oi=bibs&cluster=18406954207286959729&btnI=1&hl=en
1,Mandatory CSR and sustainability reporting: economic analysis and literature review,"HB Christensen, L Hail, C Leuz",2021,811,Review of Accounting Studies,https://scholar.google.com/scholar?oi=bibs&cluster=14848256411881062991&btnI=1&hl=en
2,Entropy-balanced accruals,"JL McMullin, B Schonberger",2020,445,Review of Accounting Studies,https://scholar.google.com/scholar?oi=bibs&cluster=13707532744846865813&btnI=1&hl=en
3,Stock price reactions to ESG news: the role of ESG ratings and disagreement,"G Serafeim, A Yoon",2023,340,Review of Accounting Studies,https://scholar.google.com/scholar?oi=bibs&cluster=3815024911240223990&btnI=1&hl=en
4,The impact of carbon disclosure mandates on emissions and financial operating performance,"B Downar, J Ernstberger, S Reichelstein, S Schwenen, A Zaklan",2021,264,Review of Accounting Studies,https://scholar.google.com/scholar?oi=bibs&cluster=17966586391964890873&btnI=1&hl=en
5,Do ESG funds make stakeholder-friendly investments?,"A Raghunandan, S Rajgopal",2022,203,Review of Accounting Studies,https://scholar.google.com/scholar?oi=bibs&cluster=5690452573665386753&btnI=1&hl=en
6,Using machine learning to detect misstatements,"J Bertomeu, E Cheynel, E Floyd, W Pan",2021,173,Review of Accounting Studies,https://scholar.google.com/scholar?oi=bibs&cluster=5868252424270486873&btnI=1&hl=en
7,Measuring audit quality,"S Rajgopal, S Srinivasan, X Zheng",2021,167,Review of Accounting Studies,https://scholar.google.com/scholar?oi=bibs&cluster=1039762242208605981&btnI=1&hl=en
8,Machine learning improves accounting estimates: evidence from insurance payments,"K Ding, B Lev, X Peng, T Sun, MA Vasarhelyi",2020,166,Review of Accounting Studies,https://scholar.google.com/scholar?oi=bibs&cluster=12951554431199382596&btnI=1&hl=en
9,Why are expanded audit reports not informative to investors? Evidence from the United Kingdom,"CS Lennox, JJ Schmidt, AM Thompson",2023,136,Review of Accounting Studies,https://scholar.google.com/scholar?oi=bibs&cluster=3942275692197208090&btnI=1&hl=en
10,Going digital: implications for firm value and performance,"W Chen, S Srinivasan",2023,136,Review of Accounting Studies,https://scholar.google.com/scholar?oi=bibs&cluster=6613351720885208527&btnI=1&hl=en
11,Is artificial intelligence improving the audit process?,"A Fedyk, J Hodson, N Khimich, T Fedyk",2022,135,Review of Accounting Studies,https://scholar.google.com/scholar?oi=bibs&cluster=1313303082113171060&btnI=1&hl=en
12,Overconfidence and Corporate Tax Policy,"JA Chyz, FB Gaertner, A Kausar, L Watson",2019,127,Review of Accounting Studies,https://scholar.google.com/scholar?oi=bibs&cluster=6643508378027035112&btnI=1&hl=en
13,Using IRS data to identify income shifting to foreign affiliates,"L De Simone, LF Mills, B Stomberg",2019,118,Review of Accounting Studies,https://scholar.google.com/scholar?oi=bibs&cluster=6631359498488177301&btnI=1&hl=en
14,Policy uncertainty and loan loss provisions in the banking industry,"J Ng, W Saffar, JJ Zhang",2020,115,Review of Accounting Studies,https://scholar.google.com/scholar?oi=bibs&cluster=13431120470325140310&btnI=1&hl=en
15,Does the media spotlight burn or spur innovation?,"L Dai, R Shen, B Zhang",2021,107,Review of Accounting Studies,https://scholar.google.com/scholar?oi=bibs&cluster=17326208041099071889&btnI=1&hl=en
16,The effect of enforcement transparency: Evidence from SEC comment-letter reviews,"M Duro, J Heese, G Ormazabal",2019,104,Review of Accounting Studies,https://scholar.google.com/scholar?oi=bibs&cluster=10485679431034491040&btnI=1&hl=en
17,The effect of major customer concentration on firm profitability: competitive or collaborative?,"KW Hui, C Liang, PE Yeung",2019,103,Review of Accounting Studies,https://scholar.google.com/scholar?oi=bibs&cluster=14416350186185608794&btnI=1&hl=en
18,The changing implications of research and development expenditures for future profitability,"A Curtis, S McVay, S Toynbee",2020,102,Review of Accounting Studies,https://scholar.google.com/scholar?oi=bibs&cluster=8887834948772373117&btnI=1&hl=en
19,Stock liquidity and corporate tax avoidance,"Y Chen, R Ge, H Louis, L Zolotoy",2019,102,Review of Accounting Studies,https://scholar.google.com/scholar?oi=bibs&cluster=7487855857241572095&btnI=1&hl=en
