,Title,Authors,Year,Cites,Journal,Link
0,Tax Aggressiveness and Corporate Transparency,"K Balakrishnan, JL Blouin, WR Guay",2019,959,The Accounting Review,https://scholar.google.com/scholar?oi=bibs&cluster=3136520117895219611&btnI=1&hl=en
1,Why is Corporate Virtue in the Eye of The Beholder? The Case of ESG Ratings,"DM Christensen, G Serafeim, A Sikochi",2022,710,The Accounting Review,https://scholar.google.com/scholar?oi=bibs&cluster=490950020145420627&btnI=1&hl=en
2,When Does Tax Avoidance Result in Tax Uncertainty?,"SD Dyreng, M Hanlon, EL Maydew",2019,344,The Accounting Review,https://scholar.google.com/scholar?oi=bibs&cluster=3834042206786918349&btnI=1&hl=en
3,Influential Observations and Inference in Accounting Research,"AJ Leone, M Minutti-Meza, CE Wasley",2019,334,The Accounting Review,https://scholar.google.com/scholar?oi=bibs&cluster=1206884384337724260&btnI=1&hl=en
4,Evolution in Value Relevance of Accounting Information,"ME Barth, K Li, CG McClure",2023,317,The Accounting Review,https://scholar.google.com/scholar?oi=bibs&cluster=15365138886014359480&btnI=1&hl=en
5,CEO Materialism and Corporate Social Responsibility,"RH Davidson, A Dey, AJ Smith",2019,240,The Accounting Review,https://scholar.google.com/scholar?oi=bibs&cluster=10862649940877591519&btnI=1&hl=en
6,Investor Relations and Information Assimilation,"K Chapman, GS Miller, HD White",2019,203,The Accounting Review,https://scholar.google.com/scholar?oi=bibs&cluster=5753818821367657088&btnI=1&hl=en
7,Analyst Coverage and Expected Crash Risk: Evidence from Exogenous Changes in Analyst Coverage,"JB Kim, LY Lu, Y Yu",2019,189,The Accounting Review,https://scholar.google.com/scholar?oi=bibs&cluster=5066859011798626682&btnI=1&hl=en
8,Managerial Ability and Income Smoothing,"B Baik, S Choi, DB Farber",2020,184,The Accounting Review,https://scholar.google.com/scholar?oi=bibs&cluster=12864531052610529504&btnI=1&hl=en
9,Big N Auditors and Audit Quality: New Evidence from Quasi-Experiments,"J Jiang, IY Wang, KP Wang",2019,180,The Accounting Review,https://scholar.google.com/scholar?oi=bibs&cluster=11600314581593852002&btnI=1&hl=en
10,Do Managers Disclose or Withhold Bad News? Evidence from Short Interest,"D Bao, Y Kim, GM Mian, L Su",2019,177,The Accounting Review,https://scholar.google.com/scholar?oi=bibs&cluster=18360536656621536268&btnI=1&hl=en
11,Foreign Institutional Investors and Corporate Voluntary Disclosure Around the World,"A Tsang, F Xie, X Xin",2019,176,The Accounting Review,https://scholar.google.com/scholar?oi=bibs&cluster=7147611190549585906&btnI=1&hl=en
12,Conforming Tax Avoidance and Capital Market Pressure,"BA Badertscher, SP Katz, SO Rego, RJ Wilson",2019,176,The Accounting Review,https://scholar.google.com/scholar?oi=bibs&cluster=1970609588827522148&btnI=1&hl=en
13,Managers' Cultural Background and Disclosure Attributes,"F Brochet, GS Miller, P Naranjo, G Yu",2019,172,The Accounting Review,https://scholar.google.com/scholar?oi=bibs&cluster=8869849888246319079&btnI=1&hl=en
14,Audit Partner Assignments and Audit Quality in the United States,"HS Lee, AL Nagy, AB Zimmerman",2019,161,The Accounting Review,https://scholar.google.com/scholar?oi=bibs&cluster=14804408819486824163&btnI=1&hl=en
15,Theory Testing and Process Evidence in Accounting Experiments,"HS Asay, RD Guggenmos, K Kadous, L Koonce, R Libby",2022,160,The Accounting Review,https://scholar.google.com/scholar?oi=bibs&cluster=69439127370831495&btnI=1&hl=en
16,Rethinking Measurement of Pay Disparity and Its Relation to Firm Performance,E Rouen,2020,159,The Accounting Review,https://scholar.google.com/scholar?oi=bibs&cluster=9996844743264754252&btnI=1&hl=en
17,Does Litigation Deter or Encourage Real Earnings Management?,"S Huang, S Roychowdhury, E Sletten",2020,158,The Accounting Review,https://scholar.google.com/scholar?oi=bibs&cluster=455563296143114009&btnI=1&hl=en
18,Investor Sentiment for Corporate Social Performance,"JP Naughton, C Wang, I Yeung",2019,155,The Accounting Review,https://scholar.google.com/scholar?oi=bibs&cluster=17463599511454540308&btnI=1&hl=en
19,What's in a Name? Initial Evidence of US Audit Partner Identification Using Difference-in-Differences Analyses,"LM Cunningham, C Li, SE Stein, NS Wright",2019,151,The Accounting Review,https://scholar.google.com/scholar?oi=bibs&cluster=8274886442970755093&btnI=1&hl=en
