,Title,Authors,Year,Cites,Journal,Link
0,The Fall of the Labor Share and the Rise of Superstar Firms,"D Autor, D Dorn, LF Katz, C Patterson, J Van Reenen",2020,2844,The Quarterly Journal of Economics,https://scholar.google.com/scholar?oi=bibs&cluster=1704767313617399521&btnI=1&hl=en
1,The Rise of Market Power and the Macroeconomic Implications,"J De Loecker, J Eeckhout, G Unger",2020,2488,The Quarterly Journal of Economics,https://scholar.google.com/scholar?oi=bibs&cluster=5310959588970447670&btnI=1&hl=en
2,The Effect of Minimum Wages on Low-Wage Jobs,"D Cengiz, A Dube, A Lindner, B Zipperer",2019,1575,The Quarterly Journal of Economics,https://scholar.google.com/scholar?oi=bibs&cluster=13823908264055561123&btnI=1&hl=en
3,Exchange Arrangements Entering the Twenty-First Century: Which Anchor will Hold?,"E Ilzetzki, CM Reinhart, KS Rogoff",2019,1497,The Quarterly Journal of Economics,https://scholar.google.com/scholar?oi=bibs&cluster=9615642052356994076&btnI=1&hl=en
4,Race and Economic Opportunity in the United States: an Intergenerational Perspective,"R Chetty, N Hendren, MR Jones, SR Porter",2020,1380,The Quarterly Journal of Economics,https://scholar.google.com/scholar?oi=bibs&cluster=11120542364052312057&btnI=1&hl=en
5,Firming Up Inequality,"J Song, DJ Price, F Guvenen, N Bloom, T von Wachter",2019,1317,The Quarterly Journal of Economics,https://scholar.google.com/scholar?oi=bibs&cluster=16887637371928946660&btnI=1&hl=en
6,Supply Chain Disruptions: Evidence from the Great East Japan Earthquake,"VM Carvalho, M Nirei, YU Saito, A Tahbaz-Salehi",2021,1009,The Quarterly Journal of Economics,https://scholar.google.com/scholar?oi=bibs&cluster=3244627905520172828&btnI=1&hl=en
7,The Return to Protectionism,"PD Fajgelbaum, PK Goldberg, PJ Kennedy, AK Khandelwal",2020,995,The Quarterly Journal of Economics,https://scholar.google.com/scholar?oi=bibs&cluster=7244945719751774682&btnI=1&hl=en
8,Firm-Level Political Risk: Measurement and Effects,"TA Hassan, S Hollander, L van Lent, A Tahoun",2019,888,The Quarterly Journal of Economics,https://scholar.google.com/scholar?oi=bibs&cluster=16754385529123030582&btnI=1&hl=en
9,"The Rate of Return on Everything, 1870–2015","Ò Jordà, K Knoll, D Kuvshinov, M Schularick, AM Taylor",2019,721,The Quarterly Journal of Economics,https://scholar.google.com/scholar?oi=bibs&cluster=15805801727415445293&btnI=1&hl=en
10,Channeling Fisher: Randomization Tests and the Statistical Insignificance of Seemingly Significant Experimental Results,A Young,2019,713,The Quarterly Journal of Economics,https://scholar.google.com/scholar?oi=bibs&cluster=6167379297739330616&btnI=1&hl=en
11,Who Becomes an Inventor in America? The Importance of Exposure to Innovation,"A Bell, R Chetty, X Jaravel, N Petkova, J Van Reenen",2019,708,The Quarterly Journal of Economics,https://scholar.google.com/scholar?oi=bibs&cluster=15969892978962899992&btnI=1&hl=en
12,Productivity and Misallocation in General Equilibrium,"DR Baqaee, E Farhi",2020,700,The Quarterly Journal of Economics,https://scholar.google.com/scholar?oi=bibs&cluster=18371150370527054004&btnI=1&hl=en
13,The Price Ain’t Right? Hospital Prices and Health Spending on the Privately Insured,"Z Cooper, SV Craig, M Gaynor, J Van Reenen",2019,695,The Quarterly Journal of Economics,https://scholar.google.com/scholar?oi=bibs&cluster=168769098013886534&btnI=1&hl=en
14,Shift-Share Designs: Theory and Inference,"R Adão, M Kolesár, E Morales",2019,662,The Quarterly Journal of Economics,https://scholar.google.com/scholar?oi=bibs&cluster=13637967342550749835&btnI=1&hl=en
15,Uniform Pricing in US Retail Chains,"S DellaVigna, M Gentzkow",2019,624,The Quarterly Journal of Economics,https://scholar.google.com/scholar?oi=bibs&cluster=16069015285984706016&btnI=1&hl=en
16,A Unified Welfare Analysis of Government Policies,"N Hendren, B Sprung-Keyser",2020,572,The Quarterly Journal of Economics,https://scholar.google.com/scholar?oi=bibs&cluster=14394015890580647691&btnI=1&hl=en
17,Implicit Stereotypes: Evidence from Teachers’ Gender Bias,M Carlana,2019,568,The Quarterly Journal of Economics,https://scholar.google.com/scholar?oi=bibs&cluster=8728015348540071237&btnI=1&hl=en
18,Watering Down Environmental Regulation in China,"G He, S Wang, B Zhang",2020,523,The Quarterly Journal of Economics,https://scholar.google.com/scholar?oi=bibs&cluster=13669641728481523464&btnI=1&hl=en
19,What do Workplace Wellness Programs do? Evidence from the Illinois Workplace Wellness Study,"D Jones, D Molitor, J Reif",2019,462,The Quarterly Journal of Economics,https://scholar.google.com/scholar?oi=bibs&cluster=722955605828601676&btnI=1&hl=en
