,Title,Authors,Year,Cites,Journal,Link
0,US Monetary Policy and the Global Financial Cycle,"S Miranda-Agrippino, H Rey",2020,1058,The Review of Economic Studies,https://scholar.google.com/scholar?oi=bibs&cluster=3038397855245687329&btnI=1&hl=en
1,Breaking the Glass Ceiling? The Effect of Board Quotas on Female Labour Market Outcomes in Norway,"M Bertrand, SE Black, S Jensen, A Lleras-Muney",2019,852,The Review of Economic Studies,https://scholar.google.com/scholar?oi=bibs&cluster=1671974023165059836&btnI=1&hl=en
2,Refugee Migration and Electoral Outcomes,"C Dustmann, K Vasiljeva, A Piil Damm",2019,686,The Review of Economic Studies,https://scholar.google.com/scholar?oi=bibs&cluster=5695487783888025203&btnI=1&hl=en
3,Innovation and Top Income Inequality,"P Aghion, U Akcigit, A Bergeaud, R Blundell, D Hemous",2019,677,The Review of Economic Studies,https://scholar.google.com/scholar?oi=bibs&cluster=1196091359931563744&btnI=1&hl=en
4,The Elusive Pro-Competitive Effects of Trade,"C Arkolakis, A Costinot, D Donaldson, A Rodríguez-Clare",2019,560,The Review of Economic Studies,https://scholar.google.com/scholar?oi=bibs&cluster=17095999618153812506&btnI=1&hl=en
5,"Gifts of the Immigrants, Woes of the Natives: Lessons from the Age of Mass Migration",M Tabellini,2020,471,The Review of Economic Studies,https://scholar.google.com/scholar?oi=bibs&cluster=3315059415491760968&btnI=1&hl=en
6,Monetary Policy when Households have Debt: New Evidence on the Transmission Mechanism,"J Cloyne, C Ferreira, P Surico",2020,437,The Review of Economic Studies,https://scholar.google.com/scholar?oi=bibs&cluster=13867181886734637884&btnI=1&hl=en
7,State Taxes and Spatial Misallocation,"PD Fajgelbaum, E Morales, JC Suárez Serrato, O Zidar",2019,407,The Review of Economic Studies,https://scholar.google.com/scholar?oi=bibs&cluster=14144688764331043199&btnI=1&hl=en
8,Social Learning and Incentives for Experimentation and Communication,"A BenYishay, AM Mobarak",2019,405,The Review of Economic Studies,https://scholar.google.com/scholar?oi=bibs&cluster=10140672071532603193&btnI=1&hl=en
9,A More Credible Approach to Parallel Trends,"A Rambachan, J Roth",2023,405,The Review of Economic Studies,https://scholar.google.com/scholar?oi=bibs&cluster=5115893393916987742&btnI=1&hl=en
10,Understanding Cultural Persistence and Change,"P Giuliano, N Nunn",2021,392,The Review of Economic Studies,https://scholar.google.com/scholar?oi=bibs&cluster=10649650109893397701&btnI=1&hl=en
11,Public R&D Investments and Private-sector Patenting: Evidence from NIH Funding Rules,"P Azoulay, JS Graff Zivin, D Li, BN Sampat",2019,377,The Review of Economic Studies,https://scholar.google.com/scholar?oi=bibs&cluster=7314267218399401967&btnI=1&hl=en
12,Correlation Neglect in Belief Formation,"B Enke, F Zimmermann",2019,361,The Review of Economic Studies,https://scholar.google.com/scholar?oi=bibs&cluster=7444460523743494825&btnI=1&hl=en
13,Should Central Banks Issue Digital Currency?,"T Keister, D Sanches",2023,352,The Review of Economic Studies,https://scholar.google.com/scholar?oi=bibs&cluster=1981231039347911588&btnI=1&hl=en
14,Negative Nominal Interest Rates and the Bank Lending Channel,"GB Eggertsson, RE Juelsrud, LH Summers, E Getz Wold",2023,330,The Review of Economic Studies,https://scholar.google.com/scholar?oi=bibs&cluster=6976485140213292092&btnI=1&hl=en
15,"International Shocks, Variable Markups, and Domestic Prices","M Amiti, O Itskhoki, J Konings",2019,307,The Review of Economic Studies,https://scholar.google.com/scholar?oi=bibs&cluster=3660733877100977800&btnI=1&hl=en
16,Using Gossips to Spread Information: Theory and Evidence from Two Randomized Controlled Trials,"A Banerjee, AG Chandrasekhar, E Duflo, MO Jackson",2019,296,The Review of Economic Studies,https://scholar.google.com/scholar?oi=bibs&cluster=7026384289584418304&btnI=1&hl=en
17,Top of the Class: The Importance of Ordinal Rank,"R Murphy, F Weinhardt",2020,296,The Review of Economic Studies,https://scholar.google.com/scholar?oi=bibs&cluster=16647660721180998804&btnI=1&hl=en
18,A Theory of Falling Growth and Rising Rents,"P Aghion, A Bergeaud, T Boppart, PJ Klenow, H Li",2023,293,The Review of Economic Studies,https://scholar.google.com/scholar?oi=bibs&cluster=6261223692902087589&btnI=1&hl=en
19,"Back to Basics: Basic Research Spillovers, Innovation Policy, and Growth","U Akcigit, D Hanley, N Serrano-Velarde",2021,286,The Review of Economic Studies,https://scholar.google.com/scholar?oi=bibs&cluster=6790063860515265317&btnI=1&hl=en
