,Title,Authors,Year,Cites,Journal,Link
0,The Macroeconomics of Epidemics,"MS Eichenbaum, S Rebelo, M Trabandt",2021,1984,The Review of Financial Studies,https://scholar.google.com/scholar?oi=bibs&cluster=5994501939223392824&btnI=1&hl=en
1,Empirical Asset Pricing via Machine Learning,"S Gu, B Kelly, D Xiu",2020,1863,The Review of Financial Studies,https://scholar.google.com/scholar?oi=bibs&cluster=8374700115153523847&btnI=1&hl=en
2,The Importance of Climate Risks for Institutional Investors,"P Krueger, Z Sautner, LT Starks",2020,1639,The Review of Financial Studies,https://scholar.google.com/scholar?oi=bibs&cluster=18207414777535196352&btnI=1&hl=en
3,Blockchain Disruption and Smart Contracts,"LW Cong, Z He",2019,1333,The Review of Financial Studies,https://scholar.google.com/scholar?oi=bibs&cluster=2031993222443227196&btnI=1&hl=en
4,Replicating Anomalies,"K Hou, C Xue, L Zhang",2020,1285,The Review of Financial Studies,https://scholar.google.com/scholar?oi=bibs&cluster=3268850943037854099&btnI=1&hl=en
5,"Sex, Drugs, and Bitcoin: How Much Illegal Activity Is Financed through Cryptocurrencies?","S Foley, JR Karlsen, TJ Putniņš",2019,1167,The Review of Financial Studies,https://scholar.google.com/scholar?oi=bibs&cluster=12946637079844041293&btnI=1&hl=en
6,The Role of Technology in Mortgage Lending,"A Fuster, M Plosser, P Schnabl, J Vickery",2019,962,The Review of Financial Studies,https://scholar.google.com/scholar?oi=bibs&cluster=13898417191620537274&btnI=1&hl=en
7,Hedging Climate Change News,"RF Engle, S Giglio, B Kelly, H Lee, J Stroebel",2020,908,The Review of Financial Studies,https://scholar.google.com/scholar?oi=bibs&cluster=13367706820490532190&btnI=1&hl=en
8,Blockchain without Waste: Proof-of-Stake,F Saleh,2021,817,The Review of Financial Studies,https://scholar.google.com/scholar?oi=bibs&cluster=13619011499959646348&btnI=1&hl=en
9,Whatever It Takes: The Real Effects of Unconventional Monetary Policy,"VV Acharya, T Eisert, C Eufinger, C Hirsch",2019,776,The Review of Financial Studies,https://scholar.google.com/scholar?oi=bibs&cluster=16507282986842205804&btnI=1&hl=en
10,On the Rise of FinTechs: Credit Scoring Using Digital Footprints,"T Berg, V Burg, A Gombović, M Puri",2020,762,The Review of Financial Studies,https://scholar.google.com/scholar?oi=bibs&cluster=4214535926603119606&btnI=1&hl=en
11,Attention to Global Warming,"D Choi, Z Gao, W Jiang",2020,731,The Review of Financial Studies,https://scholar.google.com/scholar?oi=bibs&cluster=7297676160929286459&btnI=1&hl=en
12,Initial Coin Offerings: Financing Growth with Cryptocurrency Token Sales,"ST Howell, M Niessner, D Yermack",2020,718,The Review of Financial Studies,https://scholar.google.com/scholar?oi=bibs&cluster=2218988938832464593&btnI=1&hl=en
13,Carbon Tail Risk,"E Ilhan, Z Sautner, G Vilkov",2021,704,The Review of Financial Studies,https://scholar.google.com/scholar?oi=bibs&cluster=5905480087071847408&btnI=1&hl=en
14,How Valuable Is FinTech Innovation?,"MA Chen, Q Wu, B Yang",2019,672,The Review of Financial Studies,https://scholar.google.com/scholar?oi=bibs&cluster=22757129026917245&btnI=1&hl=en
15,Tokenomics: Dynamic Adoption and Valuation,"LW Cong, Y Li, N Wang",2021,657,The Review of Financial Studies,https://scholar.google.com/scholar?oi=bibs&cluster=6406785340580689106&btnI=1&hl=en
16,Dissecting Characteristics Nonparametrically,"J Freyberger, A Neuhierl, M Weber",2020,644,The Review of Financial Studies,https://scholar.google.com/scholar?oi=bibs&cluster=2333685040264915867&btnI=1&hl=en
17,Peer-to-Peer Lenders Versus Banks: Substitutes or Complements?,H Tang,2019,617,The Review of Financial Studies,https://scholar.google.com/scholar?oi=bibs&cluster=3763055450745361184&btnI=1&hl=en
18,The Blockchain Folk Theorem,"B Biais, C Bisière, M Bouvard, C Casamatta",2019,617,The Review of Financial Studies,https://scholar.google.com/scholar?oi=bibs&cluster=14409510429069043333&btnI=1&hl=en
19,"Firm-Level Exposure to Epidemic Diseases: COVID-19, SARS, and H1N1","TA Hassan, S Hollander, L van Lent, M Schwedeler, A Tahoun",2023,610,The Review of Financial Studies,https://scholar.google.com/scholar?oi=bibs&cluster=3122914382560607750&btnI=1&hl=en
