,Journal,h5-index,Link
0,The Accounting Review,73,https://scholar.google.com/citations?hl=en&vq=bus_accountingtaxation&view_op=list_hcore&venue=WZbvTwXWP9IJ.2024
1,Contemporary Accounting Research,65,https://scholar.google.com/citations?hl=en&vq=bus_accountingtaxation&view_op=list_hcore&venue=CkTpFe981EIJ.2024
2,"Accounting, Auditing & Accountability Journal",64,https://scholar.google.com/citations?hl=en&vq=bus_accountingtaxation&view_op=list_hcore&venue=Vids_xvQcT4J.2024
3,Journal of Accounting and Economics,55,https://scholar.google.com/citations?hl=en&vq=bus_accountingtaxation&view_op=list_hcore&venue=jJ-LiVew4_sJ.2024
4,Review of Accounting Studies,53,https://scholar.google.com/citations?hl=en&vq=bus_accountingtaxation&view_op=list_hcore&venue=1eWF0PtQ4jAJ.2024
5,Accounting & Finance,52,https://scholar.google.com/citations?hl=en&vq=bus_accountingtaxation&view_op=list_hcore&venue=-UocVIPNTaUJ.2024
6,Journal of Accounting Research,51,https://scholar.google.com/citations?hl=en&vq=bus_accountingtaxation&view_op=list_hcore&venue=iXEByHonAy8J.2024
7,Meditari Accountancy Research,50,https://scholar.google.com/citations?hl=en&vq=bus_accountingtaxation&view_op=list_hcore&venue=0iOLgAgbe9EJ.2024
8,Critical Perspectives on Accounting,46,https://scholar.google.com/citations?hl=en&vq=bus_accountingtaxation&view_op=list_hcore&venue=v-1KNzo--9QJ.2024
9,"Accounting, Organizations and Society",45,https://scholar.google.com/citations?hl=en&vq=bus_accountingtaxation&view_op=list_hcore&venue=eKV67rVw0JUJ.2024
10,The British Accounting Review,44,https://scholar.google.com/citations?hl=en&vq=bus_accountingtaxation&view_op=list_hcore&venue=FnQQb27jpSgJ.2024
11,European Accounting Review,42,https://scholar.google.com/citations?hl=en&vq=bus_accountingtaxation&view_op=list_hcore&venue=dSGzpocehwYJ.2024
12,Managerial Auditing Journal,41,https://scholar.google.com/citations?hl=en&vq=bus_accountingtaxation&view_op=list_hcore&venue=UlW_XCXgoK4J.2024
13,Journal of Financial Reporting and Accounting,41,https://scholar.google.com/citations?hl=en&vq=bus_accountingtaxation&view_op=list_hcore&venue=mEunjec-__YJ.2024
14,International Journal of Accounting Information Systems,37,https://scholar.google.com/citations?hl=en&vq=bus_accountingtaxation&view_op=list_hcore&venue=U-qrshvTgQoJ.2024
15,International Journal of Accounting & Information Management,37,https://scholar.google.com/citations?hl=en&vq=bus_accountingtaxation&view_op=list_hcore&venue=MaG46bdgONEJ.2024
16,Journal of Applied Accounting Research,36,https://scholar.google.com/citations?hl=en&vq=bus_accountingtaxation&view_op=list_hcore&venue=wDdxiLIh4UgJ.2024
17,Asian Journal of Accounting Research,36,https://scholar.google.com/citations?hl=en&vq=bus_accountingtaxation&view_op=list_hcore&venue=x9HRCtRTf3EJ.2024
18,Accounting Education,36,https://scholar.google.com/citations?hl=en&vq=bus_accountingtaxation&view_op=list_hcore&venue=2yKW-vgEXOwJ.2024
19,Annual Conference on Taxation,35,https://scholar.google.com/citations?hl=en&vq=bus_accountingtaxation&view_op=list_hcore&venue=vvy5R54tRWkJ.2024
