,Journal,h5-index,Link
0,American Economic Review,153,https://scholar.google.com/citations?hl=en&vq=bus_economics&view_op=list_hcore&venue=6OFMzPxOGXUJ.2024
1,The Review of Financial Studies,123,https://scholar.google.com/citations?hl=en&vq=bus_economics&view_op=list_hcore&venue=fq7Glip_6pQJ.2024
2,Journal of Political Economy,119,https://scholar.google.com/citations?hl=en&vq=bus_economics&view_op=list_hcore&venue=yXnfXvAv204J.2024
3,The Quarterly Journal of Economics,108,https://scholar.google.com/citations?hl=en&vq=bus_economics&view_op=list_hcore&venue=y_oD4FTyINcJ.2024
4,The Review of Economic Studies,105,https://scholar.google.com/citations?hl=en&vq=bus_economics&view_op=list_hcore&venue=Wf5omswE6UsJ.2024
5,The Journal of Finance,103,https://scholar.google.com/citations?hl=en&vq=bus_economics&view_op=list_hcore&venue=veq_zTAgrk0J.2024
6,Econometrica,91,https://scholar.google.com/citations?hl=en&vq=bus_economics&view_op=list_hcore&venue=G0hmswRVzmAJ.2024
7,Review of Economics and Statistics,87,https://scholar.google.com/citations?hl=en&vq=bus_economics&view_op=list_hcore&venue=MQyiuC308yQJ.2024
8,Journal of Public Economics,81,https://scholar.google.com/citations?hl=en&vq=bus_economics&view_op=list_hcore&venue=Lqyt_XjkJvYJ.2024
9,Journal of Economic Perspectives,78,https://scholar.google.com/citations?hl=en&vq=bus_economics&view_op=list_hcore&venue=BcFvAoeBewMJ.2024
10,Economic Modelling,76,https://scholar.google.com/citations?hl=en&vq=bus_economics&view_op=list_hcore&venue=FK79rW10EqkJ.2024
11,The Economic Journal,75,https://scholar.google.com/citations?hl=en&vq=bus_economics&view_op=list_hcore&venue=MmXNdsJ8-y4J.2024
12,Journal of Monetary Economics,74,https://scholar.google.com/citations?hl=en&vq=bus_economics&view_op=list_hcore&venue=OyA0GlLkeggJ.2024
13,Journal of Development Economics,74,https://scholar.google.com/citations?hl=en&vq=bus_economics&view_op=list_hcore&venue=-ALJcLELsgIJ.2024
14,Journal of the European Economic Association,68,https://scholar.google.com/citations?hl=en&vq=bus_economics&view_op=list_hcore&venue=tCknICzlBE4J.2024
15,International Review of Economics & Finance,67,https://scholar.google.com/citations?hl=en&vq=bus_economics&view_op=list_hcore&venue=4lWo3xS-jxkJ.2024
16,European Economic Review,65,https://scholar.google.com/citations?hl=en&vq=bus_economics&view_op=list_hcore&venue=IThopCmvQ1QJ.2024
17,American Economic Journal: Macroeconomics,64,https://scholar.google.com/citations?hl=en&vq=bus_economics&view_op=list_hcore&venue=37NcioF6ApEJ.2024
18,Journal of International Economics,64,https://scholar.google.com/citations?hl=en&vq=bus_economics&view_op=list_hcore&venue=fosDtzq3s1gJ.2024
19,Structural Change and Economic Dynamics,64,https://scholar.google.com/citations?hl=en&vq=bus_economics&view_op=list_hcore&venue=3R13bkHc4MsJ.2024
