,Journal,h5-index,Link
0,Finance Research Letters,136,https://scholar.google.com/citations?hl=en&vq=bus_finance&view_op=list_hcore&venue=0RF15td_93UJ.2024
1,Journal of Financial Economics,130,https://scholar.google.com/citations?hl=en&vq=bus_finance&view_op=list_hcore&venue=_3n9_UEYMEsJ.2024
2,The Review of Financial Studies,123,https://scholar.google.com/citations?hl=en&vq=bus_finance&view_op=list_hcore&venue=fq7Glip_6pQJ.2024
3,The Journal of Finance,103,https://scholar.google.com/citations?hl=en&vq=bus_finance&view_op=list_hcore&venue=veq_zTAgrk0J.2024
4,International Review of Financial Analysis,89,https://scholar.google.com/citations?hl=en&vq=bus_finance&view_op=list_hcore&venue=n4Re0HaJ-c4J.2024
5,Journal of Corporate Finance,88,https://scholar.google.com/citations?hl=en&vq=bus_finance&view_op=list_hcore&venue=w4E9Ru1M-CUJ.2024
6,Research in International Business and Finance,81,https://scholar.google.com/citations?hl=en&vq=bus_finance&view_op=list_hcore&venue=ErnuvQw5cTUJ.2024
7,Journal of Risk and Financial Management,76,https://scholar.google.com/citations?hl=en&vq=bus_finance&view_op=list_hcore&venue=W33HQ0FC718J.2024
8,Journal of Banking & Finance,73,https://scholar.google.com/citations?hl=en&vq=bus_finance&view_op=list_hcore&venue=1ubpfGuee9gJ.2024
9,International Review of Economics & Finance,67,https://scholar.google.com/citations?hl=en&vq=bus_finance&view_op=list_hcore&venue=4lWo3xS-jxkJ.2024
10,Journal of Financial and Quantitative Analysis,63,https://scholar.google.com/citations?hl=en&vq=bus_finance&view_op=list_hcore&venue=9GAwBw4wQHoJ.2024
11,Emerging Markets Finance and Trade,63,https://scholar.google.com/citations?hl=en&vq=bus_finance&view_op=list_hcore&venue=WQ-uriIokJ4J.2024
12,Pacific-Basin Finance Journal,63,https://scholar.google.com/citations?hl=en&vq=bus_finance&view_op=list_hcore&venue=q4-aObyTX_EJ.2024
13,Review of Finance,60,https://scholar.google.com/citations?hl=en&vq=bus_finance&view_op=list_hcore&venue=KKwTpfMAih0J.2024
14,International Journal of Finance & Economics,57,https://scholar.google.com/citations?hl=en&vq=bus_finance&view_op=list_hcore&venue=ZLsQ51f7z-EJ.2024
15,Journal of Accounting and Economics,55,https://scholar.google.com/citations?hl=en&vq=bus_finance&view_op=list_hcore&venue=jJ-LiVew4_sJ.2024
16,"Journal of International Financial Markets, Institutions and Money",53,https://scholar.google.com/citations?hl=en&vq=bus_finance&view_op=list_hcore&venue=mq_EXnlX9P0J.2024
17,Review of Accounting Studies,53,https://scholar.google.com/citations?hl=en&vq=bus_finance&view_op=list_hcore&venue=1eWF0PtQ4jAJ.2024
18,The Quarterly Review of Economics and Finance,53,https://scholar.google.com/citations?hl=en&vq=bus_finance&view_op=list_hcore&venue=vK64T7J0CR4J.2024
19,Accounting & Finance,52,https://scholar.google.com/citations?hl=en&vq=bus_finance&view_op=list_hcore&venue=-UocVIPNTaUJ.2024
